1441522846,green
1441522848,yellow
1441522851,red
1441522856,green
1441522857,red
1441522881,green
1441522883,yellow
1441522884,red
1441522928,yellow
1441522932,red
1441522934,green
1441522937,yellow
1441522953,yellow
1441523808,green
1441523813,red
1441523816,yellow
1441523818,red
1441523828,green
1441523831,yellow
1441523914,green
1441523928,yellow
1441523930,red
1441523931,green
1441523976,yellow
1441523978,green
1441523979,red
1441523981,green
1441523984,yellow
1441523985,green
1441523993,red
1441523996,green
1441523998,yellow
1441524044,green
1441524048,yellow
1441524058,green
1441524064,yellow
1441524066,yellow
1441524067,green
1441524070,yellow
1441524071,green
1441524092,green
1441524093,yellow
1441524095,green
1441524148,red
1441524149,yellow
1441524151,green
1441524152,red
1441524153,yellow
1441524154,green
1441524154,yellow
1441524155,green
1441524155,yellow
1441524156,green
1441524157,yellow
1441524157,green
1441524158,red
1441524159,green
1441524160,yellow
1441524161,green
1441524162,yellow
1441524162,green
1441524163,yellow
1441524164,green
1441524164,yellow
1441524165,green
1441524165,yellow
1441524168,green
1441524169,red
1441524170,green
1441524232,yellow
1441524233,green
1441524234,red
1441524236,green
1441524292,green
1441524293,red
1441524295,yellow
1441524304,green
1441524305,red
1441524306,yellow
1441524307,green
1441524338,red
1441524339,yellow
1441524340,red
1441524341,green
1441527588,green
1441527589,red
1441527592,yellow
1441527595,green
1441527599,yellow
1441527599,red
1441527600,green
1441527600,yellow
1441527601,red
1441527601,green
1441527607,red
1441527607,yellow
1441527607,green
1441527608,red
1441527608,yellow
1441527609,green
1441527609,red
1441527609,yellow
1441527610,green
1441527610,red
1441527610,yellow
1441527611,yellow
1441527612,green
1441527612,red
1441527612,yellow
1441527613,green
1441527613,red
1441527614,yellow
1441527614,green
1441527614,red
1441527615,green
1441527615,red
1441527615,yellow
1441527616,red
1441527617,green
1441527618,yellow
1441527620,red
1441527621,green
1441527629,yellow
1441527629,red
1441527630,green
1441527631,yellow
1441527631,red
1441527635,yellow
1441527636,red
1441527637,green
1441527639,green
1441527639,yellow
1441527640,red
1441527660,green
1441527661,red
1441527662,yellow
1441527664,green
1441527665,yellow
1441527666,red
1441527668,yellow
1441527669,green
1441527673,red
1441527674,green
1441530090,green
1441530094,green
1441530095,green
1441530138,green
1441530138,green
1441530332,green
1441530334,yellow
1441530336,red
1441530338,green
1441530340,yellow
1441530340,green
1441530341,yellow
1441530342,green
1441530342,yellow
1441530343,green
1441530344,yellow
1441530344,green
1441530345,yellow
1441530346,green
1441530346,yellow
1441530347,green
1441530348,yellow
1441530349,green
1441530349,yellow
1441530350,green
1441530351,yellow
1441530351,green
1441530352,yellow
1441530352,green
1441530353,yellow
1441530353,green
1441530354,yellow
1441530355,green
1441530355,yellow
1441530356,green
1441530356,yellow
1441530357,green
1441530357,yellow
1441530359,green
1441530361,red
1441530363,green
1441530672,red
1441530672,red
1441530672,red
1441530673,yellow
1441530673,yellow
1441530673,yellow
1441530675,green
1441530675,green
1441530675,green
1441530999,green
1441530999,red
1441531000,yellow
1441531000,green
1441531001,red
1441531001,yellow
1441531002,green
1441531002,red
1441531002,yellow
1441531003,green
1441531003,red
1441531004,yellow
1441531004,green
1441531005,yellow
1441531006,red
1441531006,green
1441531007,red
1441531007,yellow
1441531007,green
1441531008,red
1441531008,yellow
1441531009,green
1441531009,red
1441531010,yellow
1441531010,green
1441531011,red
1441531011,yellow
1441531012,red
1441531012,green
1441531013,yellow
1441531013,red
1441531014,green
1441531014,yellow
1441531015,red
1441531017,green
1441531020,red
1441531021,yellow
1441531021,green
1441531023,green
1441531023,red
1441531024,yellow
