1441443311, 27125, 178, 600, 7845453727, 1334815047, 2553139, 1329, 254138956
1441443371, 32631, 144, 498, 9082557714, 1153040489, 560004, 1265, 185785220
1441443432, 25576, 146, 386, 9063433214, 868050762, 3064455, 990, 192150694
1441443492, 7450, 97, 134, 11639851574, 348776557, 129729, 158, 82883684
1441443552, 23403, 121, 170, 10584999465, 449566025, 31230, 209, 100868083
1441443612, 5929, 126, 161, 10382723911, 425448035, 816530, 149, 71229816
1441443672, 16282, 127, 179, 10285089223, 468538330, 339475, 239, 94684037
1441443732, 16847, 133, 193, 9892991177, 508339077, 40247, 250, 93601733
1441443792, 27104, 172, 245, 8212065996, 647797021, 152478, 310, 128165572
1441443852, 10350, 177, 266, 7970762614, 664324982, 586839, 353, 126460307
1441443912, 15628, 147, 213, 9237353784, 554369199, 81503, 284, 108934870
1441443972, 18681, 176, 304, 8031921316, 771815088, 360228, 503, 135867594
1441444032, 6460, 166, 234, 8439341543, 588295220, 622344, 264, 107389134
1441444093, 31624, 164, 231, 8541192708, 610851539, 52661, 273, 126158522
1441444153, 32764, 204, 560, 7161853574, 1238792803, 17767525, 1442, 385567042
1441444213, 32729, 142, 363, 9183371208, 868635219, 7738215, 980, 228021417
1441445135, 32751, 130, 205, 9370574410, 485547883, 4235681, 489, 86030369
1441445191, 29912, 137, 195, 9105237290, 476312351, 72499, 310, 81871328
1441445247, 5515, 128, 168, 9549125009, 409387548, 102833, 165, 71290398
1441445303, 20270, 160, 261, 8087239215, 634177108, 981719, 391, 108578704
1441445359, 12985, 138, 311, 8911335435, 635819613, 4176726, 644, 106532156
1441445415, 11267, 150, 288, 8294763505, 642915171, 423424, 473, 108787271
1441445471, 10211, 112, 169, 9986653765, 405490786, 1345613, 245, 65268533
1441445527, 12661, 152, 265, 8156570611, 622410986, 414885, 401, 100190363
1441445583, 32596, 153, 328, 8168054833, 770432459, 532400, 697, 132442723
1441445639, 21523, 134, 226, 8901435551, 556461959, 31081, 317, 92899427
1441445695, 7354, 150, 276, 8136261842, 598661446, 2248675, 394, 97089019
1441445751, 14166, 169, 294, 7615064631, 705792429, 4324, 411, 128002773
1441445807, 32764, 159, 331, 7805143512, 755387088, 10420451, 825, 190974786
1441445863, 5431, 99, 174, 10024774284, 384995837, 1157478, 256, 59252861
1441445918, 7918, 113, 248, 9149009901, 516288421, 4851667, 430, 70433564
1441445974, 8576, 156, 344, 7714661339, 711119566, 1865720, 529, 121201919
1441446030, 32747, 204, 555, 6699992598, 1307266580, 3728218, 1062, 240221640
1441446086, 32767, 209, 740, 6613963611, 1567843325, 22224837, 1632, 451700358
1441446142, 17353, 140, 298, 8435537663, 713977814, 2057427, 511, 89613619
1441446198, 32766, 215, 635, 6480776095, 1398251201, 12074730, 1371, 373386470
1441446254, 28599, 336, 933, 4909561703, 2084092429, 1034518, 1479, 337304248
1441446310, 29710, 231, 579, 6161500775, 1383493429, 85598, 957, 272171495
1441446366, 26275, 101, 201, 10286417651, 467299713, 605212, 507, 88369617
1441446422, 31924, 102, 159, 10494229772, 390966913, 71272, 238, 102689104
